season,week,w_judge,w_fan,corr_judge_fan
1,2,0.6542857142857142,0.34571428571428575,0.3714285714285715
1,3,0.64,0.36,0.3
1,4,0.6599999999999999,0.3400000000000001,0.39999999999999997
2,1,0.7169696969696969,0.2830303030303031,0.6848484848484848
2,2,0.72,0.28,0.7
2,3,0.6752380952380952,0.3247619047619048,0.4761904761904762
2,4,0.7014285714285714,0.2985714285714286,0.6071428571428572
2,5,0.6657142857142857,0.3342857142857143,0.8285714285714287
2,6,0.64,0.36,0.7
2,7,0.66,0.33999999999999997,0.7999999999999999
3,1,0.7672727272727272,0.23272727272727278,0.9363636363636365
3,2,0.6927272727272727,0.30727272727272725,0.5636363636363636
3,3,0.5633333333333334,0.43666666666666665,-0.08333333333333334
3,4,0.7038095238095238,0.2961904761904762,0.6190476190476191
3,5,0.5428571428571429,0.4571428571428571,0.21428571428571433
3,7,0.7,0.30000000000000004,0.9999999999999999
3,8,0.7,0.30000000000000004,1.0
4,2,0.6799999999999999,0.32000000000000006,0.5
4,3,0.6175757575757576,0.38242424242424244,0.18787878787878787
4,4,0.71,0.29000000000000004,0.65
4,5,0.6904761904761905,0.30952380952380953,0.9523809523809524
4,6,0.6714285714285715,0.3285714285714285,0.8571428571428573
4,7,0.6771428571428572,0.32285714285714284,0.8857142857142858
4,8,0.7,0.30000000000000004,0.9999999999999999
4,9,0.58,0.42000000000000004,0.39999999999999997
5,1,0.6373426573426573,0.36265734265734273,0.2867132867132868
5,2,0.6709090909090909,0.3290909090909091,0.45454545454545453
5,3,0.6539393939393939,0.34606060606060607,0.3696969696969697
5,4,0.6233333333333333,0.3766666666666667,0.21666666666666667
5,5,0.6190476190476191,0.38095238095238093,0.5952380952380953
5,6,0.6142857142857143,0.3857142857142857,0.5714285714285715
5,7,0.6542857142857144,0.34571428571428564,0.7714285714285715
5,8,0.52,0.48,0.09999999999999999
5,9,0.5,0.5,0.0
6,2,0.64993006993007,0.35006993006993004,0.34965034965034975
6,3,0.7072727272727272,0.29272727272727284,0.6363636363636362
6,4,0.77,0.22999999999999998,0.9500000000000001
6,5,0.680952380952381,0.319047619047619,0.9047619047619048
6,6,0.6428571428571429,0.3571428571428571,0.7142857142857144
6,7,0.62,0.38,0.6
6,8,0.64,0.36,0.7
6,9,0.66,0.33999999999999997,0.7999999999999999
7,1,0.6953846153846154,0.3046153846153846,0.576923076923077
7,2,0.7218181818181818,0.2781818181818182,0.7090909090909092
7,4,0.69,0.31000000000000005,0.5499999999999999
7,5,0.5523809523809524,0.4476190476190476,0.261904761904762
7,6,0.6857142857142857,0.3142857142857143,0.9285714285714288
7,7,0.5171428571428571,0.4828571428571429,0.08571428571428573
7,8,0.64,0.36,0.7
7,9,0.7,0.30000000000000004,1.0
8,2,0.6602197802197802,0.33978021978021977,0.4010989010989011
8,3,0.6946853146853147,0.3053146853146853,0.5734265734265735
8,4,0.6927272727272727,0.30727272727272725,0.5636363636363637
8,5,0.6266666666666667,0.3733333333333333,0.6333333333333333
8,6,0.6571428571428571,0.34285714285714286,0.7857142857142858
8,7,0.6714285714285715,0.3285714285714285,0.8571428571428573
8,8,0.54,0.45999999999999996,0.2
8,9,0.62,0.38,0.6
8,10,0.7,0.30000000000000004,1.0
9,1,0.6517647058823529,0.3482352941176471,0.3588235294117647
9,2,0.714065934065934,0.285934065934066,0.6703296703296703
9,3,0.6854945054945055,0.3145054945054945,0.5274725274725275
9,4,0.7545454545454545,0.24545454545454548,0.8727272727272729
9,5,0.6393939393939394,0.3606060606060606,0.6969696969696969
9,6,0.6266666666666667,0.3733333333333333,0.6333333333333333
9,7,0.5857142857142857,0.41428571428571426,0.42857142857142866
9,8,0.56,0.43999999999999995,0.3
9,9,0.54,0.45999999999999996,0.19999999999999998
10,2,0.6672727272727272,0.33272727272727276,0.43636363636363645
10,3,0.7242424242424242,0.27575757575757576,0.7212121212121211
10,4,0.7133333333333333,0.28666666666666674,0.6666666666666667
10,5,0.6904761904761905,0.30952380952380953,0.9523809523809524
10,6,0.6571428571428573,0.34285714285714275,0.7857142857142859
10,7,0.6314285714285715,0.36857142857142855,0.6571428571428573
10,8,0.7,0.30000000000000004,0.9999999999999999
10,9,0.66,0.33999999999999997,0.7999999999999999
11,1,0.6443356643356642,0.35566433566433575,0.3216783216783217
11,2,0.7345454545454545,0.2654545454545455,0.7727272727272727
11,3,0.6806060606060605,0.31939393939393945,0.5030303030303029
11,4,0.7233333333333333,0.2766666666666667,0.7166666666666667
11,5,0.49523809523809526,0.5047619047619047,-0.023809523809523815
11,6,0.45714285714285713,0.5428571428571429,-0.21428571428571433
11,7,0.5285714285714286,0.4714285714285714,0.14285714285714288
11,8,0.6,0.4,0.49999999999999994
11,9,0.66,0.33999999999999997,0.7999999999999999
12,2,0.62,0.38,0.20000000000000004
12,3,0.7,0.30000000000000004,0.6
12,4,0.6966666666666667,0.30333333333333334,0.5833333333333334
12,5,0.680952380952381,0.319047619047619,0.9047619047619048
12,6,0.6785714285714286,0.3214285714285714,0.8928571428571429
12,7,0.5285714285714286,0.4714285714285714,0.14285714285714288
12,8,0.6799999999999999,0.32000000000000006,0.8999999999999998
12,9,0.7,0.30000000000000004,1.0
13,1,0.7016783216783217,0.29832167832167833,0.6083916083916086
13,2,0.6927272727272727,0.30727272727272725,0.5636363636363637
13,3,0.6757575757575757,0.32424242424242433,0.4787878787878787
13,4,0.6866666666666666,0.31333333333333335,0.5333333333333333
13,5,0.6428571428571429,0.3571428571428571,0.7142857142857144
13,6,0.6714285714285715,0.3285714285714285,0.8571428571428573
13,7,0.6542857142857144,0.34571428571428564,0.7714285714285715
13,8,0.6799999999999999,0.32000000000000006,0.8999999999999998
13,9,0.66,0.33999999999999997,0.7999999999999999
14,2,0.6904895104895105,0.30951048951048954,0.5524475524475525
14,3,0.66,0.33999999999999997,0.4000000000000001
14,4,0.6878787878787879,0.31212121212121213,0.5393939393939393
14,5,0.6699999999999999,0.33000000000000007,0.8499999999999999
14,6,0.680952380952381,0.319047619047619,0.9047619047619048
14,7,0.6428571428571429,0.3571428571428571,0.7142857142857144
14,8,0.5857142857142857,0.41428571428571426,0.4285714285714286
14,9,0.46,0.54,-0.19999999999999998
15,1,0.6052747252747253,0.39472527472527474,0.12637362637362637
15,2,0.5967832167832168,0.4032167832167832,0.08391608391608392
15,3,0.66,0.33999999999999997,0.4000000000000001
15,4,0.7466666666666666,0.2533333333333334,0.8333333333333333
15,6,0.4857142857142857,0.5142857142857142,-0.07142857142857144
15,8,0.4714285714285714,0.5285714285714286,-0.14285714285714288
15,9,0.6,0.4,0.49999999999999994
16,3,0.7018181818181818,0.2981818181818182,0.6090909090909091
16,4,0.7242424242424242,0.27575757575757576,0.7212121212121211
